epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24969,3.91225,5.45725,4.30414,0,0,0,0,5.77848,5.23134,4.15905,0,0,0
2,11.3284,4.42728,5.43013,4.264,0,0,0,0,5.80197,5.26784,4.1592,2.08783e-06,2.08783e-06,2.08783e-06
3,16.4789,4.12125,5.61969,4.33042,0,0,0,0,5.8018,5.26794,4.15937,4.0913e-06,4.0913e-06,4.0913e-06
4,21.9158,4.04239,5.54472,4.2797,0,0,0,0,5.80159,5.26802,4.15954,6.01043e-06,6.01043e-06,6.01043e-06
5,26.7702,4.53956,5.44694,4.22922,0,0,0,0,5.8014,5.26805,4.15969,7.84522e-06,7.84522e-06,7.84522e-06
6,31.3899,3.95867,5.40913,4.32524,0,0,0,0,5.80119,5.26796,4.15984,9.59565e-06,9.59565e-06,9.59565e-06
7,35.7295,4.4478,5.42516,4.24798,0,0,0,0,5.80096,5.26801,4.16,1.12617e-05,1.12617e-05,1.12617e-05
8,40.1706,4.17167,5.51762,4.26156,0,0,0,0,5.8007,5.26804,4.16015,1.28435e-05,1.28435e-05,1.28435e-05
9,44.434,4.33053,5.39413,4.23989,0,0,0,0,5.80045,5.26806,4.16029,1.43409e-05,1.43409e-05,1.43409e-05
10,50.754,3.95745,5.55016,4.25748,0,0,0,0,5.80013,5.26809,4.16041,1.57539e-05,1.57539e-05,1.57539e-05
11,56.0325,4.51598,5.53376,4.27467,0,0,0,0,5.79984,5.26805,4.16052,1.70826e-05,1.70826e-05,1.70826e-05
12,62.0783,4.01885,5.42338,4.26175,0,0,0,0,5.79947,5.26798,4.16062,1.83269e-05,1.83269e-05,1.83269e-05
13,66.9874,4.33877,5.35356,4.22954,0,0,0,0,5.7991,5.26785,4.16071,1.94869e-05,1.94869e-05,1.94869e-05
14,72.1162,4.30383,5.48794,4.2921,0,0,0,0,5.79869,5.26769,4.16079,2.05626e-05,2.05626e-05,2.05626e-05
15,76.9191,4.45654,5.42402,4.25177,0,0,0,0,5.79819,5.2675,4.16083,2.15539e-05,2.15539e-05,2.15539e-05
16,80.693,4.34963,5.3695,4.33911,0,0,0,0,5.79767,5.26734,4.16086,2.24609e-05,2.24609e-05,2.24609e-05
