epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49382,5.83405,6.88452,4.23515,0,0,0,0,5.77847,5.23132,4.15906,0,0,0
2,2.70021,4.53653,5.34231,4.26497,0,0,0,0,5.80195,5.26784,4.15919,2.08783e-06,2.08783e-06,2.08783e-06
3,3.99383,5.73734,6.72477,4.25743,0,0,0,0,5.80174,5.26795,4.15934,4.0913e-06,4.0913e-06,4.0913e-06
4,5.19704,4.45059,5.66405,4.38459,0,0,0,0,5.80152,5.26801,4.1595,6.01043e-06,6.01043e-06,6.01043e-06
5,6.28568,4.28133,7.58994,5.1755,0,0,0,0,5.80134,5.26803,4.15961,7.84522e-06,7.84522e-06,7.84522e-06
6,7.39857,4.20824,5.65482,4.29764,0,0,0,0,5.80112,5.26798,4.15975,9.59565e-06,9.59565e-06,9.59565e-06
7,8.55111,4.64237,5.57314,4.17642,0,0,0,0,5.80085,5.26802,4.15991,1.12617e-05,1.12617e-05,1.12617e-05
8,9.69464,3.97743,6.37861,4.20572,0,0,0,0,5.80061,5.268,4.16002,1.28435e-05,1.28435e-05,1.28435e-05
9,10.8158,5.49926,5.93377,4.20855,0,0,0,0,5.80039,5.26797,4.16011,1.43409e-05,1.43409e-05,1.43409e-05
10,11.9367,3.85248,5.90862,4.20619,0,0,0,0,5.80011,5.26801,4.16026,1.57539e-05,1.57539e-05,1.57539e-05
11,13.1358,5.04278,5.5537,4.16301,0,0,0,0,5.79978,5.26793,4.16038,1.70826e-05,1.70826e-05,1.70826e-05
12,14.2318,4.46971,5.79579,4.35429,0,0,0,0,5.79947,5.26778,4.16048,1.83269e-05,1.83269e-05,1.83269e-05
13,15.3444,5.36985,5.8331,4.25951,0,0,0,0,5.79909,5.26758,4.16056,1.94869e-05,1.94869e-05,1.94869e-05
14,16.5634,4.47379,5.49361,4.31413,0,0,0,0,5.79865,5.26734,4.1606,2.05626e-05,2.05626e-05,2.05626e-05
15,17.6691,3.53034,5.89567,4.21415,0,0,0,0,5.79817,5.26706,4.16067,2.15539e-05,2.15539e-05,2.15539e-05
16,18.9101,5.75179,5.78957,4.18627,0,0,0,0,5.79767,5.26675,4.16064,2.24609e-05,2.24609e-05,2.24609e-05
17,20.1633,4.84507,5.46824,4.26968,0,0,0,0,5.79712,5.26639,4.16064,2.32835e-05,2.32835e-05,2.32835e-05
18,21.2543,4.71891,5.6183,4.15802,0,0,0,0,5.79712,5.26639,4.16064,2.40217e-05,2.40217e-05,2.40217e-05
