epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43595,4.52251,5.45547,4.26274,0,0,0,0,5.77847,5.23133,4.15906,0,0,0
2,10.2321,4.5414,5.41704,4.33887,0,0,0,0,5.80196,5.26782,4.15919,2.08783e-06,2.08783e-06,2.08783e-06
3,15.121,4.55606,5.42678,4.29168,0,0,0,0,5.80176,5.26791,4.15932,4.0913e-06,4.0913e-06,4.0913e-06
4,19.7852,4.42865,5.4537,4.2815,0,0,0,0,5.80155,5.26796,4.15947,6.01043e-06,6.01043e-06,6.01043e-06
5,24.3334,4.85831,5.48134,4.22495,0,0,0,0,5.80132,5.2679,4.1596,7.84522e-06,7.84522e-06,7.84522e-06
6,28.7955,4.55811,5.33339,4.23421,0,0,0,0,5.80106,5.26781,4.15973,9.59565e-06,9.59565e-06,9.59565e-06
7,33.2343,4.58235,5.45644,4.26122,0,0,0,0,5.80079,5.26778,4.15983,1.12617e-05,1.12617e-05,1.12617e-05
8,37.5626,4.71719,5.37421,4.2518,0,0,0,0,5.80047,5.2677,4.15993,1.28435e-05,1.28435e-05,1.28435e-05
9,41.7627,4.37827,5.55035,4.25309,0,0,0,0,5.80014,5.26754,4.16001,1.43409e-05,1.43409e-05,1.43409e-05
10,45.6976,4.31142,5.36683,4.24753,0,0,0,0,5.79977,5.26742,4.16005,1.57539e-05,1.57539e-05,1.57539e-05
11,49.6452,4.4624,5.35949,4.24868,0,0,0,0,5.79933,5.26725,4.16008,1.70826e-05,1.70826e-05,1.70826e-05
12,53.5717,4.44782,5.31489,4.27543,0,0,0,0,5.79889,5.26702,4.16007,1.83269e-05,1.83269e-05,1.83269e-05
13,57.4795,4.52427,5.38188,4.26201,0,0,0,0,5.79835,5.26658,4.16005,1.94869e-05,1.94869e-05,1.94869e-05
14,61.5609,4.39302,5.38379,4.22869,0,0,0,0,5.79776,5.26612,4.16,2.05626e-05,2.05626e-05,2.05626e-05
15,65.4873,4.87964,5.38043,4.28858,0,0,0,0,5.79711,5.26555,4.1599,2.15539e-05,2.15539e-05,2.15539e-05
16,69.4956,4.51368,5.39285,4.21241,0,0,0,0,5.79643,5.26497,4.1598,2.24609e-05,2.24609e-05,2.24609e-05
17,73.4658,4.5629,5.42451,4.23488,0,0,0,0,5.79567,5.26435,4.15967,2.32835e-05,2.32835e-05,2.32835e-05
18,77.3115,4.48256,5.31171,4.25737,0,0,0,0,5.79567,5.26435,4.15967,2.40217e-05,2.40217e-05,2.40217e-05
19,81.2171,4.58963,5.36968,4.21259,0,0,0,0,5.79416,5.26309,4.15943,2.46756e-05,2.46756e-05,2.46756e-05
20,85.1748,4.84418,5.32924,4.20929,0,0,0,0,5.79416,5.26309,4.15943,2.52452e-05,2.52452e-05,2.52452e-05
21,89.3861,4.58362,5.33251,4.26784,0,0,0,0,5.7925,5.26185,4.15914,2.57304e-05,2.57304e-05,2.57304e-05
22,93.4932,4.38294,5.25793,4.25983,0,0,0,0,5.7925,5.26185,4.15914,2.61313e-05,2.61313e-05,2.61313e-05
23,97.6766,4.69148,5.31583,4.22927,0,0,0,0,5.79057,5.25996,4.15871,2.64478e-05,2.64478e-05,2.64478e-05
24,102.218,5.01134,5.29356,4.22875,0,0,0,0,5.79057,5.25996,4.15871,2.668e-05,2.668e-05,2.668e-05
25,106.314,4.50008,5.33822,4.22722,0,0,0,0,5.78848,5.25793,4.1582,2.68278e-05,2.68278e-05,2.68278e-05
26,110.892,4.54093,5.26472,4.24164,0,0,0,0,5.78848,5.25793,4.1582,2.68913e-05,2.68913e-05,2.68913e-05
27,115.593,4.49729,5.29533,4.27529,0,0,0,0,5.78601,5.25538,4.15752,2.68704e-05,2.68704e-05,2.68704e-05
28,120.106,4.55486,5.27794,4.2241,0,0,0,0,5.78601,5.25538,4.15752,2.67652e-05,2.67652e-05,2.67652e-05
29,124.389,4.55179,5.28491,4.22422,0,0,0,0,5.78329,5.25288,4.15674,2.65756e-05,2.65756e-05,2.65756e-05
30,128.687,4.69408,5.33142,4.24423,0,0,0,0,5.78329,5.25288,4.15674,2.63017e-05,2.63017e-05,2.63017e-05
31,132.862,4.40792,5.33667,4.24053,0,0,0,0,5.78045,5.25016,4.15591,2.59434e-05,2.59434e-05,2.59434e-05
32,136.913,4.91209,5.37874,4.19728,0,0,0,0,5.78045,5.25016,4.15591,2.55008e-05,2.55008e-05,2.55008e-05
33,142.057,4.65176,5.2649,4.21511,0,0,0,0,5.77726,5.2467,4.15495,2.49738e-05,2.49738e-05,2.49738e-05
