epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.47678,4.32363,5.33984,4.21118,0,0,0,0,5.80195,5.26784,4.15916,2.13e-06,2.13e-06,2.13e-06
2,12.3837,4.29395,5.4136,4.22187,0,0,0,0,5.80156,5.26803,4.15944,6.32674e-06,6.32674e-06,6.32674e-06
3,18.6066,4.9803,5.3802,4.27252,0,0,0,0,5.80108,5.26789,4.15967,1.04391e-05,1.04391e-05,1.04391e-05
4,24.4961,5.26285,5.47059,4.22144,0,0,0,0,5.8005,5.26778,4.15979,1.44672e-05,1.44672e-05,1.44672e-05
5,30.6973,4.59167,5.32399,4.25416,0,0,0,0,5.79974,5.26751,4.15985,1.84109e-05,1.84109e-05,1.84109e-05
6,36.7663,3.95529,5.24147,4.22988,0,0,0,0,5.79879,5.26706,4.15982,2.22702e-05,2.22702e-05,2.22702e-05
7,43.1406,4.55718,5.35424,4.2217,0,0,0,0,5.79761,5.26615,4.15963,2.60452e-05,2.60452e-05,2.60452e-05
8,50.7804,4.95671,5.3582,4.20305,0,0,0,0,5.79613,5.26483,4.15936,2.97359e-05,2.97359e-05,2.97359e-05
9,58.5238,5.03619,5.34703,4.24297,0,0,0,0,5.79538,5.26422,4.15918,3.33422e-05,3.33422e-05,3.33422e-05
10,66.8397,4.57437,5.235,4.27562,0,0,0,0,5.79384,5.26285,4.1588,3.68641e-05,3.68641e-05,3.68641e-05
11,75.0281,4.1641,5.17786,4.25108,0,0,0,0,5.79195,5.26137,4.15833,4.03017e-05,4.03017e-05,4.03017e-05
12,82.5269,4.5442,5.19196,4.1914,0,0,0,0,5.78984,5.25921,4.15773,4.3655e-05,4.3655e-05,4.3655e-05
13,88.8844,3.82539,5.46902,4.23598,0,0,0,0,5.7873,5.25671,4.1569,4.69239e-05,4.69239e-05,4.69239e-05
14,96.1792,4.51695,5.21353,4.22881,0,0,0,0,5.78419,5.25334,4.15587,5.01085e-05,5.01085e-05,5.01085e-05
15,102.555,4.37781,5.3063,4.29564,0,0,0,0,5.78073,5.24978,4.15464,5.32087e-05,5.32087e-05,5.32087e-05
16,109.654,5.10515,5.21266,4.19553,0,0,0,0,5.77689,5.24555,4.15328,5.62245e-05,5.62245e-05,5.62245e-05
17,117.247,4.99018,5.3021,4.26766,0,0,0,0,5.77264,5.24047,4.15169,5.91561e-05,5.91561e-05,5.91561e-05
18,125.022,4.38722,5.57655,4.24052,0,0,0,0,5.76776,5.23474,4.14983,6.20032e-05,6.20032e-05,6.20032e-05
19,133.063,4.54937,5.08955,4.19695,0,0,0,0,5.76232,5.22818,4.14781,6.47661e-05,6.47661e-05,6.47661e-05
20,140.807,4.7663,5.10887,4.14647,0,0,0,0,5.75542,5.2194,4.14509,6.74445e-05,6.74445e-05,6.74445e-05
21,147.65,4.57923,5.14565,4.17953,0,0,0,0,5.74745,5.20903,4.14191,7.00387e-05,7.00387e-05,7.00387e-05
22,155.516,4.66,5.04489,4.20071,0,0,0,0,5.73886,5.19759,4.13862,7.25484e-05,7.25484e-05,7.25484e-05
23,163.818,3.96495,5.16281,4.17837,0,0,0,0,5.72867,5.18347,4.1347,7.49739e-05,7.49739e-05,7.49739e-05
24,175.273,4.74363,4.97555,4.23115,0,0,0,0,5.71682,5.16701,4.13019,7.7315e-05,7.7315e-05,7.7315e-05
25,184.927,4.32167,4.92841,4.13521,0,0,0,0,5.70314,5.14832,4.12516,7.95717e-05,7.95717e-05,7.95717e-05
26,192.721,4.53788,5.11995,4.1403,0,0,0,0,5.68882,5.12916,4.12004,8.17441e-05,8.17441e-05,8.17441e-05
27,200.706,4.13494,5.07537,4.10675,0,0,0,0,5.66846,5.10186,4.11519,8.38321e-05,8.38321e-05,8.38321e-05
28,207.85,4.33686,4.87677,4.17216,0,0,0,0,5.66846,5.10186,4.11519,8.58358e-05,8.58358e-05,8.58358e-05
29,215.823,4.17737,4.97355,4.10535,0,0,0,0,5.61306,5.03013,4.10329,8.77551e-05,8.77551e-05,8.77551e-05
30,222.456,4.52629,4.90084,4.17025,0,0,0,0,5.58151,4.99066,4.09346,8.95901e-05,8.95901e-05,8.95901e-05
31,229.618,4.39057,4.82838,4.12592,0,0,0,0,5.58151,4.99066,4.09346,9.13408e-05,9.13408e-05,9.13408e-05
32,235.625,5.08697,5.06393,4.09859,0,0,0,0,5.57518,4.98401,4.08742,9.30071e-05,9.30071e-05,9.30071e-05
33,241.647,4.47195,4.73823,4.04387,0.00529,0.05556,0.05635,0.01177,5.5016,4.82105,4.05367,9.4589e-05,9.4589e-05,9.4589e-05
34,248.097,4.6078,4.73097,4.08529,0.00529,0.05556,0.05635,0.01177,5.5016,4.82105,4.05367,9.60866e-05,9.60866e-05,9.60866e-05
35,255.719,3.77523,4.56938,4.04122,0.00383,0.05556,0.05598,0.01204,5.43869,4.71565,4.0308,9.74999e-05,9.74999e-05,9.74999e-05
36,262.55,4.38819,4.78891,4.05653,0.00358,0.05556,0.05591,0.01199,5.35947,4.6261,4.00837,9.88288e-05,9.88288e-05,9.88288e-05
37,268.73,4.19441,4.65746,4.07578,0.00358,0.05556,0.05591,0.01199,5.35947,4.6261,4.00837,0.000100073,0.000100073,0.000100073
38,275.526,4.67002,4.60733,3.98433,0.00383,0.05556,0.05598,0.01227,5.32327,4.56786,3.99799,0.000101234,0.000101234,0.000101234
39,283.351,4.0085,4.62109,4.06404,0.00358,0.05556,0.05591,0.00999,5.25058,4.49146,3.98639,0.000102309,0.000102309,0.000102309
40,290.514,4.76974,4.47387,3.97141,0.00358,0.05556,0.05591,0.00999,5.25058,4.49146,3.98639,0.000103301,0.000103301,0.000103301
41,297.356,4.11194,4.74603,4.05674,0.0037,0.05556,0.05594,0.00995,5.21397,4.46861,3.98004,0.000104208,0.000104208,0.000104208
42,303.766,4.75411,4.59752,4.0656,0.00383,0.05556,0.02848,0.0057,5.22775,4.51289,3.98242,0.000105031,0.000105031,0.000105031
43,310.456,3.76889,4.54318,4.05491,0.00383,0.05556,0.02848,0.0057,5.22775,4.51289,3.98242,0.000105769,0.000105769,0.000105769
44,317.16,4.38142,4.33924,3.96058,0.00397,0.05556,0.02851,0.00528,5.27453,4.60093,3.99307,0.000106424,0.000106424,0.000106424
45,323.287,3.95943,4.47728,3.93993,0.00397,0.05556,0.02851,0.00528,5.27453,4.60093,3.99307,0.000106993,0.000106993,0.000106993
46,329.083,4.83602,4.78866,3.98772,0.00617,0.05556,0.00845,0.00208,5.38253,4.77128,4.02394,0.000107479,0.000107479,0.000107479
47,336.115,3.73575,4.50799,3.99458,0.00617,0.05556,0.00845,0.00208,5.38253,4.77128,4.02394,0.00010788,0.00010788,0.00010788
48,342.475,4.16971,4.32319,3.91876,0,0,0,0,5.48381,4.93922,4.05576,0.000108197,0.000108197,0.000108197
