epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41442,4.62309,5.50792,4.25458,0,0,0,0,5.77849,5.23135,4.15905,0,0,0
2,5.90552,4.28124,5.52614,4.38039,0,0,0,0,5.802,5.26785,4.1592,2.08783e-06,2.08783e-06,2.08783e-06
3,8.2849,4.61222,5.66575,4.3541,0,0,0,0,5.80182,5.26795,4.15935,4.0913e-06,4.0913e-06,4.0913e-06
4,10.5548,3.95389,5.54979,4.31814,0,0,0,0,5.80161,5.26801,4.1595,6.01043e-06,6.01043e-06,6.01043e-06
5,12.5858,4.73971,5.69536,4.36238,0,0,0,0,5.8014,5.26803,4.15966,7.84522e-06,7.84522e-06,7.84522e-06
6,14.9278,4.26857,5.62258,4.24026,0,0,0,0,5.80119,5.26797,4.15983,9.59565e-06,9.59565e-06,9.59565e-06
7,17.0965,4.14002,5.43331,4.22598,0,0,0,0,5.80096,5.26799,4.15998,1.12617e-05,1.12617e-05,1.12617e-05
8,19.1987,4.63123,5.81276,4.35316,0,0,0,0,5.80073,5.268,4.16012,1.28435e-05,1.28435e-05,1.28435e-05
9,21.5285,4.24011,5.40948,4.24961,0,0,0,0,5.80048,5.268,4.16027,1.43409e-05,1.43409e-05,1.43409e-05
10,23.6459,5.2071,5.59012,4.27356,0,0,0,0,5.80022,5.26799,4.16038,1.57539e-05,1.57539e-05,1.57539e-05
11,25.89,4.14155,5.43593,4.21795,0,0,0,0,5.79988,5.26796,4.16049,1.70826e-05,1.70826e-05,1.70826e-05
12,28.2385,4.7927,5.40633,4.23228,0,0,0,0,5.79948,5.26776,4.16057,1.83269e-05,1.83269e-05,1.83269e-05
13,30.6563,3.78483,5.53038,4.2642,0,0,0,0,5.79906,5.26752,4.16062,1.94869e-05,1.94869e-05,1.94869e-05
14,32.9762,4.59087,5.44568,4.38567,0,0,0,0,5.7986,5.26729,4.16065,2.05626e-05,2.05626e-05,2.05626e-05
15,35.2642,3.64058,5.45838,4.2801,0,0,0,0,5.79806,5.26694,4.16069,2.15539e-05,2.15539e-05,2.15539e-05
16,37.4444,5.09631,5.63353,4.26256,0,0,0,0,5.79749,5.26658,4.16068,2.24609e-05,2.24609e-05,2.24609e-05
17,40.875,4.79204,5.4196,4.25042,0,0,0,0,5.79687,5.26607,4.16065,2.32835e-05,2.32835e-05,2.32835e-05
18,43.0231,4.59304,5.53564,4.34947,0,0,0,0,5.79687,5.26607,4.16065,2.40217e-05,2.40217e-05,2.40217e-05
19,45.4265,3.86439,5.58042,4.49387,0,0,0,0,5.79576,5.2656,4.16067,2.46756e-05,2.46756e-05,2.46756e-05
20,47.9913,4.28771,5.40327,4.25491,0,0,0,0,5.79576,5.2656,4.16067,2.52452e-05,2.52452e-05,2.52452e-05
21,50.1475,3.98202,5.39451,4.30132,0,0,0,0,5.79441,5.26486,4.1606,2.57304e-05,2.57304e-05,2.57304e-05
22,52.4142,4.95281,5.61254,4.2149,0,0,0,0,5.79441,5.26486,4.1606,2.61313e-05,2.61313e-05,2.61313e-05
23,54.7666,3.99493,5.5678,4.29731,0,0,0,0,5.79292,5.26375,4.16043,2.64478e-05,2.64478e-05,2.64478e-05
24,57.0193,3.86082,5.45556,4.31769,0,0,0,0,5.79292,5.26375,4.16043,2.668e-05,2.668e-05,2.668e-05
25,59.4323,4.68862,5.43775,4.2701,0,0,0,0,5.79125,5.26279,4.16026,2.68278e-05,2.68278e-05,2.68278e-05
26,61.9567,4.20905,5.48657,4.27844,0,0,0,0,5.79125,5.26279,4.16026,2.68913e-05,2.68913e-05,2.68913e-05
27,64.4893,4.24355,5.33223,4.23923,0,0,0,0,5.78929,5.26131,4.15995,2.68704e-05,2.68704e-05,2.68704e-05
28,66.7936,4.33527,5.52914,4.28331,0,0,0,0,5.78929,5.26131,4.15995,2.67652e-05,2.67652e-05,2.67652e-05
29,69.4184,4.03762,5.4748,4.23643,0,0,0,0,5.7871,5.25968,4.15958,2.65756e-05,2.65756e-05,2.65756e-05
30,71.8178,3.93533,5.36109,4.21663,0,0,0,0,5.7871,5.25968,4.15958,2.63017e-05,2.63017e-05,2.63017e-05
31,74.1837,4.34074,5.33532,4.26762,0,0,0,0,5.78473,5.25818,4.15913,2.59434e-05,2.59434e-05,2.59434e-05
32,76.8133,4.3088,5.47692,4.25048,0,0,0,0,5.78473,5.25818,4.15913,2.55008e-05,2.55008e-05,2.55008e-05
33,79.4002,3.8339,5.67437,4.29991,0,0,0,0,5.78232,5.25631,4.15863,2.49738e-05,2.49738e-05,2.49738e-05
34,82.459,4.4336,5.30239,4.24449,0,0,0,0,5.78232,5.25631,4.15863,2.43625e-05,2.43625e-05,2.43625e-05
35,84.9558,4.47752,5.31375,4.20749,0,0,0,0,5.77974,5.25435,4.15808,2.36669e-05,2.36669e-05,2.36669e-05
36,87.3475,4.57773,5.36658,4.26178,0,0,0,0,5.77974,5.25435,4.15808,2.28869e-05,2.28869e-05,2.28869e-05
37,89.9907,4.74924,5.52959,4.27948,0,0,0,0,5.77694,5.25217,4.15741,2.20225e-05,2.20225e-05,2.20225e-05
38,92.5948,3.58714,5.35344,4.22922,0,0,0,0,5.77694,5.25217,4.15741,2.10738e-05,2.10738e-05,2.10738e-05
39,95.3999,4.241,5.42058,4.27093,0,0,0,0,5.77373,5.24974,4.1566,2.00407e-05,2.00407e-05,2.00407e-05
40,97.6399,4.58634,5.31025,4.28414,0,0,0,0,5.77373,5.24974,4.1566,1.89233e-05,1.89233e-05,1.89233e-05
41,99.92,4.99474,5.70637,4.38386,0,0,0,0,5.77091,5.24738,4.15594,1.77216e-05,1.77216e-05,1.77216e-05
42,102.44,4.49741,6.16931,4.27737,0,0,0,0,5.77091,5.24738,4.15594,1.64355e-05,1.64355e-05,1.64355e-05
43,104.705,4.38271,6.08255,4.46278,0,0,0,0,5.76796,5.24476,4.15515,1.50651e-05,1.50651e-05,1.50651e-05
44,107.206,5.15858,5.5969,4.36111,0,0,0,0,5.76796,5.24476,4.15515,1.36103e-05,1.36103e-05,1.36103e-05
45,109.543,5.11926,5.85045,4.40745,0,0,0,0,5.76503,5.24231,4.1544,1.20711e-05,1.20711e-05,1.20711e-05
46,111.557,4.96333,5.66537,4.36192,0,0,0,0,5.76503,5.24231,4.1544,1.04476e-05,1.04476e-05,1.04476e-05
47,113.865,5.16236,5.67946,4.4761,0,0,0,0,5.76188,5.23964,4.15366,8.73982e-06,8.73982e-06,8.73982e-06
48,117.604,4.8148,6.2269,4.46989,0,0,0,0,5.76188,5.23964,4.15366,6.94763e-06,6.94763e-06,6.94763e-06
49,119.993,4.605,5.8247,4.37267,0,0,0,0,5.75831,5.23673,4.15271,5.0711e-06,5.0711e-06,5.0711e-06
50,122.475,4.69443,5.88837,4.5229,0,0,0,0,5.75831,5.23673,4.15271,3.11023e-06,3.11023e-06,3.11023e-06
